date;associates
2022-01-14 20:27:00;29923
2022-01-15 00:27:00;29929
2022-01-15 04:27:00;29929
2022-01-15 08:27:00;29930
2022-01-15 12:27:00;29944
2022-01-15 16:27:00;29947
2022-01-15 16:51:00;29948
2022-01-15 20:51:00;29953
2022-01-16 00:51:00;29957
2022-01-16 04:51:00;29957
2022-01-16 08:51:00;29964
2022-01-16 12:51:00;29969
2022-01-16 16:51:00;29977
2022-01-16 17:03:00;29977
2022-01-16 21:03:00;29982
2022-01-17 01:03:00;29980
2022-01-17 05:03:00;29979
2022-01-17 09:03:00;29985
2022-01-17 13:03:00;29983
2022-01-17 17:03:00;29990
2022-01-17 17:10:00;29990
2022-01-17 21:10:00;29994
2022-01-18 01:10:00;29997
2022-01-18 05:10:00;30002
2022-01-18 09:10:00;30002
2022-01-18 17:10:00;30009
2022-01-18 17:46:00;30007
2022-01-18 21:46:00;30009
2022-01-19 01:46:00;30013
2022-01-19 05:46:00;30014
2022-01-19 09:46:00;30013
2022-01-19 13:46:00;30015
2022-01-19 17:46:00;30015
2022-01-19 18:26:00;30016
2022-01-19 22:26:00;30014
2022-01-20 02:26:00;30011
2022-01-20 06:26:00;30012
2022-01-20 10:26:00;30015
2022-01-20 14:26:00;30013
2022-01-20 18:26:00;30013
2022-01-20 18:37:00;30013
2022-01-21 02:37:00;30015
2022-01-21 06:37:00;30016
2022-01-21 10:37:00;30013
2022-01-21 14:37:00;30015
2022-01-21 18:37:00;30020
2022-01-21 19:06:00;30019
2022-01-22 03:06:00;30016
2022-01-22 07:06:00;30014
2022-01-22 11:06:00;30016
2022-01-22 15:06:00;30022
2022-01-22 19:06:00;30026
2022-01-22 20:06:00;30026
2022-01-23 00:06:00;30028
2022-01-23 04:06:00;30028
2022-01-23 08:06:00;30034
2022-01-23 12:06:00;30035
2022-01-23 16:06:00;30036
2022-01-23 20:06:00;30037
2022-01-24 08:34:00;30027
2022-01-24 12:34:00;30031
2022-01-24 16:34:00;30040
2022-01-24 20:34:00;30045
2022-01-24 20:50:00;30045
2022-01-25 00:50:00;30051
2022-01-25 04:50:00;30051
2022-01-25 08:50:00;30054
2022-01-25 12:50:00;30085
2022-01-25 16:50:00;30095
2022-01-25 20:50:00;30101
2022-01-25 21:30:00;30100
2022-01-26 01:30:00;30104
2022-01-26 05:30:00;30111
2022-01-26 09:30:00;30110
2022-01-26 13:30:00;30123
2022-01-26 17:30:00;30125
2022-01-26 21:30:00;30131
2022-01-26 21:44:00;30131
2022-01-27 01:44:00;30135
2022-01-27 05:44:00;30134
2022-01-27 09:44:00;30138
2022-01-27 13:44:00;30160
2022-01-27 17:44:00;30171
2022-01-27 21:44:00;30180
2022-01-27 22:10:00;30181
2022-01-28 02:10:00;30182
2022-01-28 06:10:00;30182
2022-01-28 10:10:00;30192
2022-01-28 14:10:00;30201
2022-01-28 18:10:00;30208
2022-01-28 22:10:00;30213
2022-01-28 22:21:00;30213
2022-01-29 02:21:00;30214
2022-01-29 06:21:00;30210
2022-01-29 10:21:00;30220
2022-01-29 14:21:00;30245
2022-01-29 18:21:00;30254
2022-01-29 22:21:00;30263
2022-01-29 23:00:00;30263
2022-01-30 07:00:00;30262
2022-01-30 11:00:00;30265
2022-01-30 15:00:00;30276
2022-01-30 19:00:00;30291
2022-01-30 23:00:00;30289
2022-01-30 23:04:00;30289
2022-01-31 03:04:00;30290
2022-01-31 07:04:00;30288
2022-01-31 11:04:00;30297
2022-01-31 15:04:00;30303
